"Source Name"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Control-10h-1"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Control-10h-1"	"Control"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Control-10h-2"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Control-10h-2"	"Control"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Control-10h-3"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Control-10h-3"	"Control"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Control-24h-1"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Control-24h-1"	"Control"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Control-24h-2"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Control-24h-2"	"Control"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Control-24h-3"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Control-24h-3"	"Control"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Control-2h-1"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Control-2h-1"	"Control"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Control-2h-2"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Control-2h-2"	"Control"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Control-2h-3"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Control-2h-3"	"Control"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Control-6h-1"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Control-6h-1"	"Control"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Control-6h-2"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Control-6h-2"	"Control"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Control-6h-3"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Control-6h-3"	"Control"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Light standard--1"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Light standard--1"	"Light standard"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Light standard--2"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Light standard--2"	"Light standard"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Light standard--3"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Light standard--3"	"Light standard"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Norm--1"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Norm--1"	"Norm"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Norm--2"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Norm--2"	"Norm"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Norm--3"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Norm--3"	"Norm"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Virus-10h-1"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Virus-10h-1"	"Virus"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Virus-10h-2"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Virus-10h-2"	"Virus"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Virus-10h-3"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Virus-10h-3"	"Virus"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Virus-24h-1"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Virus-24h-1"	"Virus"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Virus-24h-2"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Virus-24h-2"	"Virus"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Virus-24h-3"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Virus-24h-3"	"Virus"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Virus-2h-1"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Virus-2h-1"	"Virus"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Virus-2h-2"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Virus-2h-2"	"Virus"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Virus-2h-3"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Virus-2h-3"	"Virus"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"Virus-6h-1"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Virus-6h-1"	"Virus"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"Virus-6h-2"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Virus-6h-2"	"Virus"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"Virus-6h-3"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"Virus-6h-3"	"Virus"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
"heavy standard--1"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"heavy standard--1"	"heavy standard"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"heavy standard--2"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"heavy standard--2"	"heavy standard"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"heavy standard--3"	"cell culture"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000214"	"sample collection"	"heavy standard--3"	"heavy standard"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
